Name,Image,VFX,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
aqua tile flooring,,No,No,900,225,Aqua,Aqua,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTile01,5036,JmNGqRhEow3PH7bgk
arabesque flooring,,No,No,2120,530,Black,Gray,NA,NA,Nook's Cranny,,NA,NA,151,expensive,living room,None,Cloth Floors,For sale,1.0.0,Yes,RoomTexFloorArabesque00,4953,4dabyuetmZD5dDdCH
arched-brick flooring,,No,No,1100,275,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,facility,shop,None,Arched Brick,For sale,1.0.0,Yes,RoomTexFloorArchBrick00,4998,CSPoYJzCnzWjqWrj5
argyle tile flooring,,No,No,1750,437,White,Beige,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTileWood00,4994,BH8PqRSou2XjQ8ppQ
artsy parquet flooring,,No,No,1800,450,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,facility,shop,None,Simple Parquet,For sale,1.0.0,Yes,RoomTexFloorParquetArt00,5232,fbfCzw546bWEF95Aq
backyard lawn,,No,Yes,NFS,600,Green,Green,NA,NA,Crafting,,NA,NA,103,garden,None,None,Grassland,Not for sale,1.0.0,Yes,RoomTexFloorLawn00,4979,kANgKb2s4a6pMSjnd
bamboo flooring,,No,Yes,NFS,2400,Green,Beige,NA,NA,Crafting,,NA,NA,103,harmonious,None,bamboo,Nature - Green,Not for sale,1.0.0,Yes,RoomTexFloorBamboo00,4964,gMeLjZdPobbrt58sT
basement flooring,,No,Yes,NFS,1500,Gray,Gray,NA,NA,Crafting,,NA,NA,103,horror,facility,None,Stone Floors,Not for sale,1.0.0,Yes,RoomTexFloorBasement00,4797,DgaMSqGEyko87dD3H
beige desert-tile flooring,,No,No,2100,525,Beige,White,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Morocco,For sale,1.0.0,Yes,RoomTexFloorMorocco00,4965,yhH3pNWq8L8j48tHW
berry-chocolates flooring,,No,No,3000,750,Pink,Pink,NA,NA,Saharah,,NA,NA,451,fancy,None,None,Chocolate,Not for sale,1.0.0,Yes,RoomTexFloorChocolate02,5053,E7Mfi6saTnBEgW6o8
birch flooring,,No,No,800,200,White,White,NA,NA,Nook's Cranny,,NA,NA,151,living room,child's room,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorBirch00,5032,2tg7thFuaxAAiDTsv
black iron-parquet flooring,,No,No,2350,587,Black,White,NA,NA,Nook's Cranny,,NA,NA,151,expensive,living room,None,Iron Parquet,For sale,1.0.0,Yes,RoomTexFloorParquetIron02,5066,24iNYeWLqkR2juaqx
black-brick flooring,,No,No,1040,260,Black,Black,NA,NA,Nook's Cranny,,NA,NA,151,facility,shop,None,Brick,For sale,1.0.0,Yes,RoomTexFloorBrick02,4976,9KuQFNKWxmCH4Wmvh
block flooring,,No,No,3000,750,Brown,Brown,NA,NA,Nook Shopping Promotion,,Super Mario Bros.,Yes,201,fancy,child's room,Mario,Mario,Not in catalog,1.8.0,Yes,RoomTexFloorMario00,13804,9eBvLr6aCPPym2LFP
blue camo flooring,,No,No,1320,330,Blue,Blue,NA,NA,Nook's Cranny,,NA,NA,151,party,child's room,None,Camouflage,For sale,1.0.0,Yes,RoomTexFloorCamouflage01,5016,bGQTqfoWhW5TNdLM9
blue desert-tile flooring,,No,No,2100,525,Blue,White,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Morocco,For sale,1.0.0,Yes,RoomTexFloorMorocco01,4966,zJsrCJgAeFsymNzjq
blue dot flooring,,No,No,800,200,Blue,Aqua,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Dot,For sale,1.0.0,Yes,RoomTexFloorDot04,5028,cpSuDLw7NNyxB5fCs
blue floral flooring,,No,No,1520,380,Blue,Blue,NA,NA,Nook's Cranny,,NA,NA,151,shop,living room,None,Deco Wood,For sale,1.0.0,Yes,RoomTexFloorDecoWood01,5074,XMaNPpWPhwfMY6L5G
blue honeycomb tile,,No,No,1420,355,Blue,Blue,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Honeycomb,For sale,1.0.0,Yes,RoomTexFloorHoneycomb01,5040,rYSDNLpsxE2ec3g9W
blue mosaic-tile flooring,,No,No,900,225,Blue,Blue,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTile03,6846,y7utgb97MDffD3CWY
blue rubber flooring,,No,No,850,212,Blue,Aqua,NA,NA,Nook's Cranny,,NA,NA,151,fitness,school,None,Rubber,For sale,1.0.0,Yes,RoomTexFloorRubber01,4954,4q43QAcimMHbzK76v
blue-paint flooring,,No,No,1040,260,Aqua,White,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Painted Wood,For sale,1.0.0,Yes,RoomTexFloorPaintWood00,5057,gNCxEi69JzcmxXbxL
boxing-ring mat,,No,No,3000,750,Blue,Blue,NA,NA,Saharah,,NA,NA,451,fitness,None,None,Sports Floor,Not for sale,1.0.0,Yes,RoomTexFloorWrestling00,4982,45uLswcK6NpGkiLNj
brown argyle-tile flooring,,No,No,1440,360,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,expensive,facility,None,Argyle,For sale,1.0.0,Yes,RoomTexFloorArgyleTile01,5081,yBoSKBz6zX8i5upzp
brown floral flooring,,No,No,1520,380,Brown,White,NA,NA,Nook's Cranny,,NA,NA,151,shop,living room,None,Deco Wood,For sale,1.0.0,Yes,RoomTexFloorDecoWood02,5075,xY7NHtsvYjKMbACLu
brown honeycomb tile,,No,No,1420,355,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Honeycomb,For sale,1.0.0,Yes,RoomTexFloorHoneycomb00,5038,ZpkkHEE23YB7QNvHx
brown iron-parquet flooring,,No,No,2350,587,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,expensive,living room,None,Iron Parquet,For sale,1.0.0,Yes,RoomTexFloorParquetIron01,5065,n48DyFP2iimp68t9Y
brown wedding flooring,,No,No,NFS,750,Brown,Beige,12,Heart Crystals,Cyrus,,Wedding Season,Yes,437,party,expensive,wedding,Tile Floors,Not for sale,1.2.0,Yes,RoomTexFloorMarbleTile01,12433,hmyWP64oXEsMwBPua
brown-brick flooring,,No,No,1040,260,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,facility,shop,None,Brick,For sale,1.0.0,Yes,RoomTexFloorBrick03,6849,pjTr8dw3cyN8eeZYv
Bunny Day flooring,,No,Yes,NFS,4800,Green,Colorful,NA,NA,Crafting,,Bunny Day (ready days); Bunny Day,Yes,351,fancy,child's room,Bunny Day,Dot,Not for sale,1.1.0,Yes,RoomTexFloorEaster00,12423,Q9QJSyTM3AzAWLBvD
camo flooring,,No,No,1320,330,Black,Green,NA,NA,Nook's Cranny,,NA,NA,151,party,child's room,None,Camouflage,For sale,1.0.0,Yes,RoomTexFloorCamouflage00,5015,DuqT3X6msNdXFvLHi
cherry-blossom flooring,,No,Yes,NFS,4400,Pink,Pink,NA,NA,Crafting,,cherry-blossom petals,Yes,201,garden,fancy,cherry blossoms,Nature - Fallen Leaves,Not for sale,1.0.0,Yes,RoomTexFloorSakura00,7204,ZhWmRmGQN5gZCao4y
Cinnamoroll flooring,,No,No,3000,750,Colorful,Colorful,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,None,Cinnamoroll,Sanrio Floor,Not in catalog,1.9.0,Yes,RoomTexFloorCinnamon00,10182,QoSp6QuNxwN28hdiv
circuit-board flooring,,No,No,3000,750,Green,Green,NA,NA,Saharah,,NA,NA,451,facility,None,None,Machine Floor,Not for sale,1.0.0,Yes,RoomTexFloorGeek00,5082,mqiB9cY9EEtRXQoFS
cloud flooring,,Yes,No,3000,750,White,White,NA,NA,Saharah,,NA,NA,451,fancy,None,None,Special Nature Floors,Not for sale,1.0.0,Yes,RoomSpFloorCloud00,5267,Gp6CWrou6RqPRPLH3
colored-leaves flooring,,No,Yes,NFS,4300,Orange,Orange,NA,NA,Crafting,,maple leaves,Yes,201,garden,None,tree's bounty or leaves,Nature - Fallen Leaves,Not for sale,1.0.0,Yes,RoomTexFloorAutumun00,4990,ZNpkS7gSLvRFR3qv4
colorful mosaic-tile flooring,,No,No,900,225,Colorful,White,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTile02,5037,FMtGXChPSm2y6edqK
colorful puzzle flooring,,No,No,1450,362,Colorful,Colorful,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Puzzle Mat,For sale,1.0.0,Yes,RoomTexFloorPuzzleMat01,4957,snnsfZxLf3bLFCmSD
colorful tile flooring,,No,No,1620,405,Colorful,Colorful,NA,NA,Nook's Cranny,,NA,NA,151,living room,child's room,None,Panel,For sale,1.0.0,Yes,RoomTexFloorPanel01,5068,ANgxpCY6rprKk56wT
common flooring,,No,No,720,180,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,living room,school,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorCommon00,5018,GQX6Cd7FiDHBwkfAv
concrete flooring,,No,No,820,205,Gray,Gray,NA,NA,Nook's Cranny,,NA,NA,151,workshop,facility,None,Stone Floors,For sale,1.0.0,Yes,RoomTexFloorConcrete00,4951,r6hpZDG5eaceYuE3x
construction-site flooring,,No,No,3000,750,Brown,White,NA,NA,Saharah,,NA,NA,451,workshop,facility,None,Sidewalk,Not for sale,1.0.0,Yes,RoomTexFloorConstruction00,5235,25pmfNgicXrDwQhZ9
cool vinyl flooring,,No,No,1150,287,Blue,Gray,NA,NA,Nook's Cranny,,NA,NA,151,expensive,None,None,Tile Checker,For sale,1.0.0,Yes,RoomTexFloorTileChecker03,6844,RpwPS8ETt7nPHGTqR
cool-paint flooring,,No,No,2200,550,Colorful,Colorful,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Colorful Wood,For sale,1.0.0,Yes,RoomTexFloorColorfulWood01,5071,P5vNHW2McCcqGk2Ru
cork flooring,,No,No,1500,375,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,school,music,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorCork00,4969,YSWAiTZFDQXzbH8xM
crop-circles flooring,,No,No,3000,750,Green,Green,NA,NA,Saharah,,NA,NA,451,garden,None,None,Nature - Green,Not for sale,1.0.0,Yes,RoomTexFloorCropCircles00,5243,zvSD2W9Wsxs2wX82T
crosswalk flooring,,No,No,3000,750,Beige,Black,NA,NA,Saharah,,NA,NA,451,facility,None,None,Sidewalk,Not for sale,1.0.0,Yes,RoomTexFloorSidewalk00,5007,DpkSGAyAuXwcmKcYT
cubic parquet flooring,,No,No,1500,375,Orange,Orange,NA,NA,Nook's Cranny,,NA,NA,151,living room,child's room,None,Simple Parquet,For sale,1.0.0,Yes,RoomTexFloorHoneycombWood00,4987,pTqSAheGagvxyCivv
cute blue-tile flooring,,No,No,780,195,Blue,Blue,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorCute02,7221,QsGtuf59hbErv942T
cute red-tile flooring,,No,No,780,195,Red,Pink,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorCute01,7220,TmfKeSsDh7FMpA6jG
cute white-tile flooring,,No,No,780,195,White,White,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorCute00,7219,bXxKjx8AJp7PRKLZA
cute yellow-tile flooring,,No,No,780,195,Yellow,Yellow,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorCute03,7222,CSeg3aQXkhPjwXSJS
cute-paint flooring,,No,No,2200,550,Pink,Orange,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Colorful Wood,For sale,1.0.0,Yes,RoomTexFloorColorfulWood00,5070,W6ohXRHoCKsN4YLB8
daisy meadow,,No,No,3000,750,Green,Green,NA,NA,Saharah,,NA,NA,451,garden,None,None,Grassland,Not for sale,1.0.0,Yes,RoomTexFloorGrassland00,5005,3wxzHxXFvLCZ9CKg2
dark herringbone flooring,,No,No,1200,300,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,living room,shop,None,Herringbone,For sale,1.0.0,Yes,RoomTexFloorHerringbone01,5062,B2ZTCrRr7jnNR2ovs
dark parquet flooring,,No,No,1560,390,Black,Gray,NA,NA,Nook's Cranny,,NA,NA,151,living room,None,None,Country,For sale,1.0.0,Yes,RoomTexFloorCountry01,5025,rco8xXCvWkLSFYCRA
dark wood-pattern flooring,,No,No,1500,375,Black,Black,NA,NA,Nook's Cranny,,NA,NA,151,living room,shop,None,Simple Parquet,For sale,1.0.0,Yes,RoomTexFloorSimpleParquet01,4992,XtDikpNN55jn8zrja
dark-block flooring,,No,No,1380,345,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,school,None,None,Parquet,For sale,1.0.0,Yes,RoomTexFloorParquet01,5035,Brfw5JnsZKhxqhWYf
dark-chocolates flooring,,No,No,3000,750,Brown,Brown,NA,NA,Saharah,,NA,NA,451,fancy,None,None,Chocolate,Not for sale,1.0.0,Yes,RoomTexFloorChocolate00,5050,hyLXZQ7stKXetPcQv
dig-site flooring,,No,No,3000,750,Brown,Beige,NA,NA,Saharah,,NA,NA,451,garden,horror,None,Nature - Brown,Not for sale,1.0.0,Yes,RoomTexFloorStratum00,5011,4niZnD4Hiwrg9tF2G
dirt flooring,,No,No,3000,750,Brown,Black,NA,NA,Saharah,,NA,NA,451,garden,outdoors,None,Nature - Brown,Not for sale,1.0.0,Yes,RoomTexFloorCottonSoil00,4981,LYgxhvWvyPWAzWieZ
field flooring,,No,No,3000,750,Brown,Brown,NA,NA,Saharah,,NA,NA,451,garden,None,None,Nature - Brown,Not for sale,1.0.0,Yes,RoomTexFloorFarm00,4980,2zmEMZxmYHHNEGTQR
flagstone flooring,,No,No,1700,425,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,shop,facility,None,Stone Floors,For sale,1.0.0,Yes,RoomTexFloorFlagStone00,5031,NtuoKtiMbKoiY2xoy
floral mosaic-tile flooring,,No,No,1080,270,White,White,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorMosaicTile00,4993,5wjjJXuu2A9EYJGgf
floral rush-mat flooring,,No,No,3000,750,White,White,NA,NA,Saharah,,NA,NA,451,fancy,harmonious,None,Japanese Style,Not for sale,1.0.0,Yes,RoomTexFloorRush00,4977,f9aYRhv4CwtmsYPNS
flowing-river flooring,,Yes,No,3000,750,Gray,Aqua,NA,NA,Saharah,,NA,NA,451,garden,None,None,Special Nature Floors,Not for sale,1.0.0,Yes,RoomSpFloorRiver00,5273,2EL3sCGxkgTQj533G
forest flooring,,No,Yes,NFS,35000,Brown,Brown,NA,NA,Crafting,,mushrooms,Yes,201,garden,horror,mush,Nature - Fallen Leaves,Not for sale,1.0.0,Yes,RoomTexFloorMushForest00,7186,ec3NaTs5Pk8z6HCC6
future-tech flooring,,Yes,No,3000,750,Black,Black,NA,NA,Saharah,,NA,NA,451,horror,heritage,None,Special Inorganic Floors,Not for sale,1.0.0,Yes,RoomSpFloorTechnology00,5250,eZweMfrfieMDtihv7
galaxy flooring,,Yes,Yes,NFS,7500,Blue,Blue,NA,NA,Crafting,,NA,NA,103,space,None,None,Special Nature Floors,Not for sale,1.0.0,Yes,RoomSpFloorGalaxy00,5269,XhFQDs3H9uCdikzkW
garbage-heap flooring,,No,Yes,NFS,120,White,White,NA,NA,Crafting,,NA,NA,103,horror,workshop,None,Decadence,Not for sale,1.0.0,Yes,RoomTexFloorGarbage00,5236,iY9f7H5NjXBxxB6HQ
giraffe-print flooring,,No,No,1300,325,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,party,fancy,None,Animal Floor,For sale,1.0.0,Yes,RoomTexFloorAnimal01,4961,umJmHnuMQRMEeXB7Y
gold iron-parquet flooring,,No,No,2350,587,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,expensive,living room,None,Iron Parquet,For sale,1.0.0,Yes,RoomTexFloorParquetIron00,5064,R7g62hAfWLaJ2muuy
golden flooring,,No,Yes,NFS,40000,Yellow,Yellow,NA,NA,Crafting,,NA,NA,103,expensive,horror,golden,Luxury,Not for sale,1.0.0,Yes,RoomTexFloorGold00,5021,YrHA4R4RmkJLeYvJy
gravel flooring,,No,No,3000,750,Gray,Gray,NA,NA,Saharah,,NA,NA,451,garden,facility,None,Stone Floors,Not for sale,1.0.0,Yes,RoomTexFloorGravel00,4978,9jLaEjCCsiMHGLf9Y
gray argyle-tile flooring,,No,No,1440,360,Gray,White,NA,NA,Nook's Cranny,,NA,NA,151,expensive,facility,None,Argyle,For sale,1.0.0,Yes,RoomTexFloorArgyleTile00,5080,L5HHMxTjeAv2hLukh
gray vinyl flooring,,No,No,1150,287,Gray,White,NA,NA,Nook's Cranny,,NA,NA,151,expensive,None,None,Tile Checker,For sale,1.0.0,Yes,RoomTexFloorTileChecker00,5046,hazZe9YtvTt7T8WJD
green floral flooring,,No,No,1520,380,Green,Green,NA,NA,Nook's Cranny,,NA,NA,151,shop,living room,None,Deco Wood,For sale,1.0.0,Yes,RoomTexFloorDecoWood03,6847,AaKjHGFteG5h2GBQn
green honeycomb tile,,No,No,1420,355,Green,Green,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Honeycomb,For sale,1.0.0,Yes,RoomTexFloorHoneycomb02,5041,3T2nKNCHMxxQXkucQ
green retro flooring,,No,No,1540,385,Green,Green,NA,NA,Nook's Cranny,,NA,NA,151,kitchen,shop,None,Kitchen Floors,For sale,1.0.0,Yes,RoomTexFloorKitchen01,5045,RRFkhjtia4ayJy2cH
green rubber flooring,,No,No,850,212,Green,Green,NA,NA,Nook's Cranny,,NA,NA,151,fitness,school,None,Rubber,For sale,1.0.0,Yes,RoomTexFloorRubber00,4952,raqdEHfoLLbgfxpcR
green vinyl flooring,,No,No,1150,287,Green,White,NA,NA,Nook's Cranny,,NA,NA,151,expensive,None,None,Tile Checker,For sale,1.0.0,Yes,RoomTexFloorTileChecker02,5048,zBGakmC9vX4Epuduf
green wedding flooring,,No,No,NFS,750,Green,Aqua,12,Heart Crystals,Cyrus,,Wedding Season,Yes,437,party,expensive,wedding,Tile Floors,Not for sale,1.2.0,Yes,RoomTexFloorMarbleTile02,12434,uhmt88jsXSHpkqswZ
green-paint flooring,,No,No,1040,260,Green,Green,NA,NA,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Painted Wood,For sale,1.0.0,Yes,RoomTexFloorPaintWood01,5058,ZdsDu7KBmtngBLoe4
Hello Kitty flooring,,No,No,3000,750,Blue,Aqua,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,None,Hello Kitty,Sanrio Floor,Not in catalog,1.9.0,Yes,RoomTexFloorKitty00,10183,tYjiR9p4ze42heAmo
hexagonal floral flooring,,No,No,860,215,White,White,NA,NA,Nook's Cranny,,NA,NA,151,harmonious,shop,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorHempTile00,4972,6frp588zeZqeDBSvp
highway flooring,,No,No,3000,750,Gray,Beige,NA,NA,Saharah,,NA,NA,451,facility,None,None,Sidewalk,Not for sale,1.0.0,Yes,RoomTexFloorHighway00,5237,wrqigm79Kx7xbhPcb
honeycomb flooring,,No,Yes,NFS,3000,Yellow,Yellow,NA,NA,Crafting,,NA,NA,103,fancy,facility,None,Neta,Not for sale,1.0.0,Yes,RoomTexFloorHoney00,4999,Yi7YJpRkuc2DYxypg
ice flooring,,Yes,Yes,NFS,8200,Aqua,Aqua,NA,NA,Crafting,,snowflakes,Yes,444,freezing cold,facility,frozen,Special Nature Floors,Not for sale,1.0.0,Yes,RoomSpFloorIce00,5516,J63DSTu7u4tnwgLfR
iceberg flooring,,Yes,Yes,NFS,4000,White,Aqua,NA,NA,Crafting,,snowflakes,Yes,201,freezing cold,None,None,Special Nature Floors,Not for sale,1.0.0,Yes,RoomSpFloorIceFloe00,5253,7unCfS99xyM3swHCz
imperial tile,,No,No,3000,750,White,Gray,NA,NA,Saharah,,NA,NA,451,expensive,None,None,Luxury,Not for sale,1.0.0,Yes,RoomTexFloorDynasty00,5012,n4zrzvMvJmXvpMTCw
jointed-mat flooring,,No,No,1050,262,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,school,child's room,None,Cloth Floors,For sale,1.0.0,Yes,RoomTexFloorJointMat00,4955,RfPqDKHG6QR5FhwXY
jungle flooring,,No,Yes,NFS,2200,Green,Green,NA,NA,Crafting,,NA,NA,103,garden,facility,None,Nature - Green,Not for sale,1.0.0,Yes,RoomTexFloorJungle00,5515,QrdicpjjuY4mBd37e
