zpid,full_address,street_address,city,state,zipcode,bedrooms,bathrooms,sqft,price,owner
17875262,"23043 seabrook ln, moreno valley, ca 92557",23043 seabrook ln,moreno valley,ca,92557,2,2,936,383900,zillow
55030278,"12953 bermuda dunes dr, victorville, ca 92395",12953 bermuda dunes dr,victorville,ca,92395,3,2,1415,362200,zillow
69293332,"41117 royal sunset rd, lake elsinore, ca 92532",41117 royal sunset rd,lake elsinore,ca,92532,5,3,2750,567900,zillow
69261278,"30684 emperor dr, quail valley, ca 92587",30684 emperor dr,quail valley,ca,92587,3,2,2020,661900,zillow
25513735,"2693 brand dr, tustin, ca 92782",2693 brand dr,tustin,ca,92782,4,3,2100,1166200,zillow
17640465,"13239 snowview rd, victorville, ca 92392",13239 snowview rd,victorville,ca,92392,4,2,1633,362900,zillow
18098767,"66338 6th st, desert hot springs, ca 92240",66338 6th st,desert hot springs,ca,92240,4,2,1800,361900,zillow
60281156,"27083 sunningdale way, valley center, ca 92082",27083 sunningdale way,valley center,ca,92082,3,3,2141,761200,zillow
243353573,"13697 glen canyon dr, corona, ca 92883",13697 glen canyon dr,corona,ca,92883,5,3,2496,701200,zillow
25534257,"25462 morningstar rd, lake forest, ca 92630",25462 morningstar rd,lake forest,ca,92630,5,4,2330,1076300,zillow
25914467,"9462 hidden hollow ct, elk grove, ca 95758",9462 hidden hollow ct,elk grove,ca,95758,3,2,1386,547300,zillow
64679007,"29208 azara st, murrieta, ca 92563",29208 azara st,murrieta,ca,92563,4,3,3258,614900,zillow
25636356,"21192 mazatlan, mission viejo, ca 92692",21192 mazatlan,mission viejo,ca,92692,3,3,1941,930100,zillow
305287044,"277 magnet, irvine, ca 92618",277 magnet,irvine,ca,92618,2,3,1351,767300,zillow
17949971,"15721 lake ridge rd, lake elsinore, ca 92530",15721 lake ridge rd,lake elsinore,ca,92530,4,3,2293,606100,zillow
16798016,"14140 chicarita creek rd, san diego, ca 92128",14140 chicarita creek rd,san diego,ca,92128,3,2,1968,944300,zillow
18189977,"29657 saint andrews ct, murrieta, ca 92563",29657 saint andrews ct,murrieta,ca,92563,3,2,1143,513900,zillow
63466431,"132 glenwood cir, roseville, ca 95678",132 glenwood cir,roseville,ca,95678,5,3,2822,699900,zillow
17535830,"2321 s magnolia ave #9a, ontario, ca 91762",2321 s magnolia ave #9a,ontario,ca,91762,2,3,1146,416300,zillow
79810266,"22681 oakgrove unit 423, aliso viejo, ca 92656",22681 oakgrove unit 423,aliso viejo,ca,92656,2,2,1158,562900,zillow
17817666,"6367 brian cir, riverside, ca 92509",6367 brian cir,riverside,ca,92509,3,2,1177,531200,zillow
18177651,"40279 via ambiente, murrieta, ca 92562",40279 via ambiente,murrieta,ca,92562,2,2,1263,479900,zillow
17949971,"15721 lake ridge rd, lake elsinore, ca 92530",15721 lake ridge rd,lake elsinore,ca,92530,4,3,2293,606100,zillow
68560900,"920 equinox loop, lincoln, ca 95648",920 equinox loop,lincoln,ca,95648,3,3,1542,474900,zillow
240359505,"2558 amelia earhart ave, sacramento, ca 95834",2558 amelia earhart ave,sacramento,ca,95834,4,3,2500,614900,zillow
64679007,"29208 azara st, murrieta, ca 92563",29208 azara st,murrieta,ca,92563,4,3,3258,614900,zillow
2113007121,"28982 sam pl, canyon country, ca 91387",28982 sam pl,canyon country,ca,91387,4,3,1911,731900,zillow
79562472,"13279 el cabo ct, victorville, ca 92395",13279 el cabo ct,victorville,ca,92395,5,4,2692,434900,zillow
69021971,"140 cityscape gln, escondido, ca 92027",140 cityscape gln,escondido,ca,92027,3,3,2071,710000,zillow
25398508,"7719 e northfield ave, anaheim, ca 92807",7719 e northfield ave,anaheim,ca,92807,4,2,1493,909900,zillow
17052421,"1465 e lexington ave unit 9b, el cajon, ca 92019",1465 e lexington ave unit 9b,el cajon,ca,92019,3,3,1178,523900,zillow
17678510,"7123 bayridge ct, granite bay, ca 95746",7123 bayridge ct,granite bay,ca,95746,3,3,1621,609900,zillow
17989417,"1292 granite dr, hemet, ca 92543",1292 granite dr,hemet,ca,92543,4,2,1926,437000,zillow
16995823,"4565 54th st, san diego, ca 92115",4565 54th st,san diego,ca,92115,3,3,1601,828900,zillow
16694516,"650 judson st, escondido, ca 92027",650 judson st,escondido,ca,92027,3,2,1644,709900,zillow
16678360,"1842 foothill view pl, escondido, ca 92026",1842 foothill view pl,escondido,ca,92026,3,2,1692,862900,zillow
25762603,"3332 e hammond cir unit c, orange, ca 92869",3332 e hammond cir unit c,orange,ca,92869,2,2,1200,601900,zillow
20747387,"1909 cedar lodge ter, los angeles, ca 90039",1909 cedar lodge ter,los angeles,ca,90039,3,3,1735,1318900,zillow
79565579,"902 bullion ln, folsom, ca 95630",902 bullion ln,folsom,ca,95630,4,3,1930,689900,zillow
16700937,"2324 shadyridge ave, escondido, ca 92029",2324 shadyridge ave,escondido,ca,92029,4,3,1991,923000,zillow
64693983,"11959 garret ln, victorville, ca 92392",11959 garret ln,victorville,ca,92392,4,4,3025,490000,zillow
249900819,"3832 mulberry st, san jacinto, ca 92582",3832 mulberry st,san jacinto,ca,92582,5,3,2528,538100,zillow
79489384,"1440 chalgrove dr unit d, corona, ca 92882",1440 chalgrove dr unit d,corona,ca,92882,2,1,860,345100,zillow
61241805,"1418 blackstone ave, chula vista, ca 91915",1418 blackstone ave,chula vista,ca,91915,5,4,2159,834500,zillow
25565510,"24542 los serranos dr, laguna niguel, ca 92677",24542 los serranos dr,laguna niguel,ca,92677,4,2,1704,1356900,zillow
18620098,"3941 moraga dr, el dorado hills, ca 95762",3941 moraga dr,el dorado hills,ca,95762,3,2,2003,777900,zillow
61335680,"2845 macon dr, sacramento, ca 95835",2845 macon dr,sacramento,ca,95835,4,3,2732,784900,zillow
25515865,"3 lindberg, irvine, ca 92620",3 lindberg,irvine,ca,92620,2,2,1602,1034900,zillow
69020836,"1760 e palomar st unit 105, chula vista, ca 91913",1760 e palomar st unit 105,chula vista,ca,91913,2,3,1200,484900,zillow
114418111,"7100 alvern st apt 203, los angeles, ca 90045",7100 alvern st apt 203,los angeles,ca,90045,2,2,1130,692900,zillow
59376880,"341 anjou cir, sacramento, ca 95835",341 anjou cir,sacramento,ca,95835,3,3,1872,580300,zillow
17268967,"1790 somerset ln, redlands, ca 92374",1790 somerset ln,redlands,ca,92374,4,3,2100,629000,zillow
20266038,"5558 essex dr, palmdale, ca 93552",5558 essex dr,palmdale,ca,93552,4,2,1600,440900,zillow
26060678,"8630 amber oaks ct, fair oaks, ca 95628",8630 amber oaks ct,fair oaks,ca,95628,4,2,2198,749900,zillow
21113764,"17602 antonio ave, cerritos, ca 90703",17602 antonio ave,cerritos,ca,90703,4,2,1824,986600,zillow
21572476,"1202 e service ave, west covina, ca 91790",1202 e service ave,west covina,ca,91790,3,2,1667,813100,zillow
26053652,"4015 eastwood village ln, carmichael, ca 95608",4015 eastwood village ln,carmichael,ca,95608,3,3,1480,434900,zillow
26033750,"5428 ventana pl, citrus heights, ca 95610",5428 ventana pl,citrus heights,ca,95610,3,3,1900,449900,zillow
16919465,"3571 ruffin rd unit 244, san diego, ca 92123",3571 ruffin rd unit 244,san diego,ca,92123,2,2,943,439900,zillow
21189959,"3032 heather rd, long beach, ca 90808",3032 heather rd,long beach,ca,90808,3,2,1599,909800,zillow
94691055,"13214 trona st, hesperia, ca 92344",13214 trona st,hesperia,ca,92344,3,3,2466,439900,zillow
25319074,"11259 knott ave, cypress, ca 90630",11259 knott ave,cypress,ca,90630,4,3,1547,751900,zillow
16604846,"1840 via allena, oceanside, ca 92056",1840 via allena,oceanside,ca,92056,3,3,1500,787300,zillow
25718379,"27911 mazagon #144, mission viejo, ca 92692",27911 mazagon #144,mission viejo,ca,92692,2,2,1257,671100,zillow
25759287,"28954 canyon lake dr #44, trabuco canyon, ca 92679",28954 canyon lake dr #44,trabuco canyon,ca,92679,2,1,954,474600,zillow
21449444,"2838 antisana pl, hacienda heights, ca 91745",2838 antisana pl,hacienda heights,ca,91745,4,3,1908,1024900,zillow
25860987,"2291 zinfandel dr, rancho cordova, ca 95670",2291 zinfandel dr,rancho cordova,ca,95670,3,2,1204,429900,zillow
25968910,"3759 douglas fir ct, antelope, ca 95843",3759 douglas fir ct,antelope,ca,95843,3,3,1584,549900,zillow
16899136,"13565 las potras way, lakeside, ca 92040",13565 las potras way,lakeside,ca,92040,4,3,1872,860900,zillow
25887890,"4681 tallyho dr, sacramento, ca 95826",4681 tallyho dr,sacramento,ca,95826,4,2,1390,454900,zillow
21189959,"3032 heather rd, long beach, ca 90808",3032 heather rd,long beach,ca,90808,3,2,1599,909800,zillow
62002606,"5601 overleaf way, sacramento, ca 95835",5601 overleaf way,sacramento,ca,95835,4,2,1910,569900,zillow
16999786,"4745 normandie pl, la mesa, ca 91942",4745 normandie pl,la mesa,ca,91942,3,2,2100,867900,zillow
302795910,"11405 garvey ave unit e, el monte, ca 91732",11405 garvey ave unit e,el monte,ca,91732,4,4,1840,739900,zillow
17184378,"1399 serena cir unit 3, chula vista, ca 91910",1399 serena cir unit 3,chula vista,ca,91910,3,3,1429,645000,zillow
26033786,"5484 ventana pl, citrus heights, ca 95610",5484 ventana pl,citrus heights,ca,95610,3,3,1900,474100,zillow
16811193,"13259 wimberly sq unit 257, san diego, ca 92128",13259 wimberly sq unit 257,san diego,ca,92128,2,2,907,522100,zillow
17181661,"1058 e j st, chula vista, ca 91910",1058 e j st,chula vista,ca,91910,4,3,2671,924600,zillow
16877498,"10202 new bedford ct, lakeside, ca 92040",10202 new bedford ct,lakeside,ca,92040,4,3,1592,770700,zillow
18590675,"525 skyline dr, placerville, ca 95667",525 skyline dr,placerville,ca,95667,3,3,2329,629900,zillow
95693278,"913 montecito dr, los angeles, ca 90031",913 montecito dr,los angeles,ca,90031,3,3,2236,1131400,zillow
16603123,"4727 knoll wood ct, oceanside, ca 92056",4727 knoll wood ct,oceanside,ca,92056,2,2,1076,577500,zillow
49941060,"2176 pointe pkwy, spring valley, ca 91978",2176 pointe pkwy,spring valley,ca,91978,5,3,2933,924600,zillow
25709767,"332 gullotti pl, placentia, ca 92870",332 gullotti pl,placentia,ca,92870,2,2,859,555100,zillow
20148990,"10151 petit ave, north hills, ca 91343",10151 petit ave,north hills,ca,91343,4,3,2367,942800,zillow
21350851,"315 n goodhope ave, san pedro, ca 90732",315 n goodhope ave,san pedro,ca,90732,3,2,1256,920700,zillow
25945034,"9201 everett ct, elk grove, ca 95624",9201 everett ct,elk grove,ca,95624,4,3,2189,782900,zillow
62577996,"1736 grand ave unit a, san diego, ca 92109",1736 grand ave unit a,san diego,ca,92109,3,3,1538,909800,zillow
25883066,"2319 clapton way, folsom, ca 95630",2319 clapton way,folsom,ca,95630,3,2,1325,644300,zillow
59376792,"281 sutley cir, sacramento, ca 95835",281 sutley cir,sacramento,ca,95835,3,2,1557,584900,zillow
69293107,"28346 saddlecrest st, sun city, ca 92585",28346 saddlecrest st,sun city,ca,92585,4,3,2395,549900,zillow
68563100,"2344 spring grove dr, roseville, ca 95747",2344 spring grove dr,roseville,ca,95747,3,2,1858,715900,zillow
79526894,"17010 calle trevino unit 13, san diego, ca 92127",17010 calle trevino unit 13,san diego,ca,92127,2,3,1211,793900,zillow
20890385,"630 w huntington dr unit 103, arcadia, ca 91007",630 w huntington dr unit 103,arcadia,ca,91007,2,2,1378,612300,zillow
95823362,"22920 seattle ridge rd, wildomar, ca 92595",22920 seattle ridge rd,wildomar,ca,92595,4,3,2472,618000,zillow
25386174,"1232 n jefferson st, placentia, ca 92870",1232 n jefferson st,placentia,ca,92870,3,2,1853,959000,zillow
17040809,"4342 morning view ct, la mesa, ca 91941",4342 morning view ct,la mesa,ca,91941,5,3,2436,1049100,zillow
25624703,"27592 bocina, mission viejo, ca 92692",27592 bocina,mission viejo,ca,92692,5,3,2325,1091800,zillow
241608256,"1435 santa diana rd unit 7, chula vista, ca 91913",1435 santa diana rd unit 7,chula vista,ca,91913,4,4,2366,724200,zillow
